Order,AIC
"(2, 0, 6)",32151.3920182482
"(4, 0, 6)",32153.069942050293
"(6, 0, 0)",32159.120059941728
"(0, 0, 6)",32159.994262111824
"(6, 0, 1)",32160.900267971847
"(2, 0, 5)",32160.921932544497
"(1, 0, 5)",32161.475824191875
"(6, 0, 2)",32162.912090506965
"(6, 1, 1)",32163.379383516392
"(0, 1, 6)",32170.27585587037
"(1, 0, 6)",32172.865542062947
"(5, 0, 0)",32173.457521625103
"(3, 1, 4)",32174.12229396424
"(1, 1, 6)",32174.323531330752
"(3, 0, 4)",32174.661211983923
"(5, 0, 1)",32175.46794653521
"(5, 0, 3)",32176.24625751898
"(0, 0, 5)",32179.60806740956
"(4, 1, 2)",32182.61311176593
"(4, 0, 1)",32182.623135849433
"(3, 0, 3)",32184.517376560514
"(4, 1, 1)",32185.25010585654
"(2, 1, 3)",32185.500310800533
"(4, 0, 0)",32186.078379419174
"(1, 0, 3)",32186.084035401538
"(4, 0, 3)",32187.66377837262
"(2, 0, 3)",32188.042626921524
"(3, 0, 5)",32192.01884876947
"(3, 1, 2)",32193.951287967357
"(3, 0, 1)",32194.57409388382
"(3, 0, 0)",32196.731139680407
"(1, 0, 2)",32198.74782800206
"(2, 0, 2)",32198.82079200806
"(5, 0, 5)",32199.718630626092
"(4, 0, 5)",32202.49407272313
"(0, 1, 5)",32204.262040046946
"(1, 1, 3)",32206.62086133896
"(2, 0, 0)",32208.075003545797
"(2, 1, 1)",32208.422251979
"(2, 0, 1)",32209.584139151266
"(3, 1, 3)",32210.40835018771
"(0, 0, 4)",32214.77395692552
"(1, 1, 2)",32216.08815068883
"(4, 1, 6)",32228.059991224553
"(1, 0, 1)",32229.729602461055
"(1, 0, 4)",32244.496180760514
"(0, 1, 4)",32245.43081443291
"(0, 0, 3)",32258.365863370345
"(5, 0, 4)",32268.374655199936
"(2, 1, 2)",32269.366923077876
"(6, 1, 6)",32283.005215162673
"(5, 1, 6)",32289.02980210982
"(1, 1, 5)",32291.36720017119
"(6, 0, 5)",32291.48002978522
"(2, 0, 4)",32305.693413590026
"(0, 1, 3)",32312.139091654077
"(3, 0, 6)",32331.761411966705
"(0, 0, 2)",32357.274416578024
"(6, 0, 4)",32363.216361529423
"(5, 1, 5)",32370.517028506772
"(1, 1, 1)",32371.619889986203
"(1, 0, 0)",32380.33639725434
"(6, 1, 0)",32386.35760459678
"(6, 2, 1)",32390.322482700813
"(3, 0, 2)",32404.26960458421
"(5, 1, 0)",32417.9816893244
"(5, 2, 1)",32428.79094535695
"(4, 1, 3)",32430.595016150124
"(5, 2, 2)",32437.901600184792
"(0, 1, 2)",32438.353228830547
"(1, 2, 3)",32440.577529682872
"(4, 0, 4)",32441.31935390923
"(4, 2, 1)",32451.989312494883
"(4, 1, 0)",32453.934764928905
"(0, 1, 1)",32462.90059876581
"(5, 0, 6)",32472.795745857467
"(3, 1, 5)",32473.13698092795
"(0, 2, 2)",32477.83500891479
"(4, 1, 5)",32488.09587690088
"(5, 0, 2)",32491.06034989225
"(2, 1, 4)",32505.141498307894
"(2, 1, 5)",32507.23105329049
"(3, 1, 0)",32508.450919927593
"(3, 2, 1)",32510.44865199481
"(6, 0, 6)",32526.19868003361
"(1, 1, 4)",32528.411321697113
"(3, 1, 6)",32536.890745491695
"(2, 1, 0)",32556.285903022457
"(2, 2, 1)",32557.95267231994
"(2, 1, 6)",32592.035145547718
"(1, 2, 1)",32623.75102430958
"(6, 2, 2)",32634.882103274642
"(1, 1, 0)",32635.054766676123
"(0, 0, 1)",32658.39920054419
"(6, 1, 5)",32695.138915009393
"(5, 1, 4)",32697.09390371251
"(5, 1, 3)",32729.4494436773
"(4, 1, 4)",32739.3006300809
"(6, 1, 4)",32739.541727682066
"(2, 2, 4)",32741.718449189757
"(6, 2, 3)",32749.222268581998
"(5, 2, 3)",32799.87546386695
"(6, 1, 3)",32823.7775317207
"(3, 2, 6)",32826.5794049455
"(4, 2, 6)",32888.09779300472
"(6, 2, 6)",32922.39266926881
"(3, 2, 5)",32925.55045155471
"(5, 2, 5)",32946.65357673734
"(1, 2, 6)",32953.59921837546
"(2, 2, 6)",32957.231373223
"(0, 2, 6)",32960.38927598248
"(5, 2, 6)",32964.03444848847
"(5, 2, 4)",32965.83552207834
"(3, 2, 2)",32969.26072706826
"(3, 2, 3)",32975.80758770288
"(4, 2, 2)",32996.69111789365
"(4, 2, 3)",33004.2531330387
"(4, 2, 4)",33008.92023338566
"(6, 2, 5)",33011.20767912232
"(1, 2, 4)",33014.86282895419
"(4, 2, 5)",33017.28400787155
"(2, 2, 5)",33032.62483797602
"(0, 2, 5)",33039.22209049747
"(1, 2, 5)",33039.574368115005
"(2, 2, 2)",33065.25394328905
"(3, 2, 4)",33078.45236968355
"(6, 2, 0)",33081.43447098666
"(6, 2, 4)",33089.67942403679
"(0, 2, 4)",33090.38081040011
"(2, 2, 3)",33115.51207841112
"(0, 0, 0)",33138.08626405196
"(0, 2, 3)",33165.87147616064
"(5, 2, 0)",33216.194036424175
"(0, 2, 1)",33224.56147654036
"(0, 1, 0)",33232.9876681678
"(1, 2, 2)",33264.67939520885
"(4, 2, 0)",33369.29186190314
"(3, 2, 0)",33612.375505521806
"(2, 2, 0)",33908.49225598651
"(1, 2, 0)",34529.20913129352
"(0, 2, 0)",36273.43610831254
"(6, 0, 3)",36363.81034998555
"(4, 0, 2)",68063.91266995389
"(3, 1, 1)",
"(5, 1, 1)",
"(5, 1, 2)",
"(6, 1, 2)",
