Feature,Importance
lag_1,0.13095728
hour,0.081290446
rolling_std_24,0.06317509
working_hours,0.056367356
hour_sin,0.05274201
hour_cos,0.031409897
day_of_week,0.029336765
rolling_mean_24,0.026870936
lag_168,0.023211587
lag_24,0.022670269
indoor_temp_mean,0.020983526
RH_6,0.020002104
rolling_mean_168,0.019783538
RH_8,0.019198565
RH_3,0.018281339
T9,0.018155646
month,0.016702157
Tdewpoint,0.01654043
indoor_humidity_std,0.016280746
indoor_temp_std,0.016250258
T7,0.015984224
T8,0.015873434
Visibility,0.015210802
T6,0.014400692
RH_out,0.014268166
RH_9,0.013520399
T_out,0.013457901
indoor_humidity_mean,0.013448906
rv1,0.013267155
RH_7,0.012947565
Windspeed,0.01280842
T3,0.012671634
T2,0.012632001
T4,0.012240552
RH_4,0.01220641
T5,0.012187844
Press_mm_hg,0.012026887
RH_5,0.011611258
RH_1,0.011139695
is_weekend,0.010476595
lights,0.009689546
rv2,0.0096813785
T1,0.009589497
RH_2,0.008448995
